ID,Ca,Y,EA,log_sigma_300
1,0,0,,
2,0,4,,
3,0,8,,
4,0,12,,
5,0,16,,
6,0,20,,
7,0,24,,
8,0,28,,
9,0,32,,
10,0,36,,
11,0,40,,
12,0,44,,
13,0,48,0.436355985,-5.692503962
14,4,0,,
15,4,4,,
16,4,8,,
17,4,12,,
18,4,16,0.3698883,-4.739928612
19,4,20,,
20,4,24,,
21,4,28,,
22,4,32,,
23,4,36,,
24,4,40,,
25,4,44,,
26,4,48,,
27,8,0,,
28,8,4,,
29,8,8,,
30,8,12,,
31,8,16,,
32,8,20,,
33,8,24,,
34,8,28,,
35,8,32,,
36,8,36,,
37,8,40,0.410725824,-5.316052869
38,8,44,,
39,8,48,,
40,12,0,,
41,12,4,,
42,12,8,,
43,12,12,,
44,12,16,,
45,12,20,,
46,12,24,,
47,12,28,,
48,12,32,,
49,12,36,,
50,12,40,0.414422443,-5.358525889
51,12,44,,
52,12,48,,
53,16,0,,
54,16,4,,
55,16,8,,
56,16,12,,
57,16,16,,
58,16,20,,
59,16,24,,
60,16,28,,
61,16,32,0.418305681,-5.379863945
62,16,36,,
63,16,40,,
64,16,44,,
65,16,48,,
66,20,0,,
67,20,4,,
68,20,8,,
69,20,12,,
70,20,16,,
71,20,20,,
72,20,24,,
73,20,28,,
74,20,32,,
75,20,36,,
76,20,40,,
77,20,44,,
78,20,48,,
79,24,0,,
80,24,4,,
81,24,8,,
82,24,12,,
83,24,16,,
84,24,20,0.395597874,-5.07109231
85,24,24,,
86,24,28,,
87,24,32,,
88,24,36,,
89,24,40,,
90,24,44,,
91,24,48,,
92,28,0,,
93,28,4,,
94,28,8,,
95,28,12,0.40165898,-5.11407366
96,28,16,,
97,28,20,,
98,28,24,,
99,28,28,,
100,28,32,,
101,28,36,,
102,28,40,,
103,28,44,,
104,28,48,,
105,32,0,,
106,32,4,,
107,32,8,,
108,32,12,,
109,32,16,,
110,32,20,,
111,32,24,,
112,32,28,,
113,32,32,0.423068404,-5.408935393
114,32,36,,
115,32,40,,
116,32,44,,
117,32,48,0.482950865,-6.199282922
118,36,0,,
119,36,4,,
120,36,8,,
121,36,12,,
122,36,16,,
123,36,20,,
124,36,24,,
125,36,28,,
126,36,32,,
127,36,36,,
128,36,40,,
129,36,44,,
130,36,48,,
131,40,0,,
132,40,4,,
133,40,8,,
134,40,12,,
135,40,16,,
136,40,20,0.440197532,-5.603800653
137,40,24,,
138,40,28,,
139,40,32,,
140,40,36,,
141,40,40,,
142,40,44,,
143,40,48,,
144,44,0,,
145,44,4,,
146,44,8,0.438736354,-5.515700161
147,44,12,,
148,44,16,,
149,44,20,,
150,44,24,,
151,44,28,,
152,44,32,,
153,44,36,,
154,44,40,,
155,44,44,,
156,44,48,,
157,48,0,,
158,48,4,,
159,48,8,,
160,48,12,,
161,48,16,0.412524501,-5.181114585
162,48,20,,
163,48,24,,
164,48,28,,
165,48,32,,
166,48,36,,
167,48,40,,
168,48,44,,
169,48,48,,
