ID,Ca,Y,EA,log_sigma_300
1,0,0,0.400698097,-5.165579296
2,0,4,0.340253798,-4.374687549
3,0,8,0.383561029,-4.970616222
4,0,12,0.366384254,-4.692503962
5,0,16,0.391391033,-5.080398976
6,0,20,0.3747622,-4.821023053
7,0,24,0.391921107,-5.087246696
8,0,28,0.373870803,-4.841637508
9,0,32,0.382884043,-4.958607315
10,0,36,0.401811848,-5.224025669
11,0,40,0.420809138,-5.448550002
12,0,44,0.431553556,-5.625251654
13,0,48,0.436355985,-5.692503962
14,4,0,0.363507561,-4.638272164
15,4,4,0.329124233,-4.218244625
16,4,8,0.364430724,-4.681936665
17,4,12,0.353992041,-4.549750892
18,4,16,0.3698883,-4.739928612
19,4,20,0.375864039,-4.841637508
20,4,24,0.409911853,-5.284832642
21,4,28,0.386715663,-5.00656377
22,4,32,0.406284718,-5.294136288
23,4,36,0.408800087,-5.27572413
24,4,40,0.407303175,-5.273272791
25,4,44,0.43349319,-5.642065153
26,4,48,0.43749356,-5.679853714
27,8,0,0.385504633,-4.935542011
28,8,4,0.35775219,-4.612610174
29,8,8,0.380739924,-4.882728704
30,8,12,0.385028162,-4.920818754
31,8,16,0.405450894,-5.232102384
32,8,20,0.387142501,-4.978810701
33,8,24,0.373291096,-4.798602876
34,8,28,0.410682147,-5.313363731
35,8,32,0.420916344,-5.457174573
36,8,36,0.411434574,-5.326979093
37,8,40,0.410725824,-5.316052869
38,8,44,0.424577229,-5.488116639
39,8,48,0.422377522,-5.493494968
40,12,0,0.351998805,-4.503070352
41,12,4,0.361417045,-4.602059991
42,12,8,0.370843227,-4.714442691
43,12,12,0.410721853,-5.253365801
44,12,16,0.378490585,-4.863279433
45,12,20,0.376437789,-4.818156412
46,12,24,0.396330448,-5.095284455
47,12,28,0.394321329,-5.098541679
48,12,32,0.412323986,-5.321481621
49,12,36,0.432099512,-5.585026652
50,12,40,0.414422443,-5.358525889
51,12,44,0.41940752,-5.413412695
52,12,48,0.447233418,-5.821023053
53,16,0,0.37741654,-4.815308569
54,16,4,0.368274255,-4.698970004
55,16,8,0.412377589,-5.294136288
56,16,12,0.396405889,-5.079354999
57,16,16,0.381089336,-4.89279003
58,16,20,0.412218766,-5.27572413
59,16,24,0.385784559,-4.946921557
60,16,28,0.449246508,-5.779891912
61,16,32,0.418305681,-5.379863945
62,16,36,0.431583336,-5.578396073
63,16,40,0.416556636,-5.386158178
64,16,44,0.421543698,-5.42365865
65,16,48,0.427114436,-5.510041521
66,20,0,0.357561602,-4.536107011
67,20,4,0.376723672,-4.798602876
68,20,8,0.390465886,-4.991399828
69,20,12,0.39042618,-5
70,20,16,0.419816491,-5.368556231
71,20,20,0.381162792,-4.89279003
72,20,24,0.392415446,-5.035269079
73,20,28,0.401297657,-5.15739076
74,20,32,0.407589057,-5.252588192
75,20,36,0.438678781,-5.659555885
76,20,40,0.422560169,-5.455931956
77,20,44,0.445823859,-5.744727495
78,20,48,0.441795694,-5.696803943
